Genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
1373615_at	-0.0881268149516572	6.12116057555773	-4.81692505882584	1.79838920308932e-05	0.103609861374259	2.55710968669621
1372953_at	0.0614811727657374	6.64236892312263	4.79626516886949	1.92372191598835e-05	0.103609861374259	2.24493518561161
1375961_at	-0.112262546802992	6.10500521712395	-4.79177491696589	1.9520792823135e-05	0.103609861374259	2.4773205524022
1368865_at	0.0859916712121445	6.27263751559442	4.59451593244583	3.69999940943885e-05	0.125803781737715	1.82460282965651
1369694_at	0.0925691832671554	5.81979833862038	4.57419240722036	3.95037938007018e-05	0.125803781737715	1.89689685951348
1373733_at	-0.0296285031660632	6.50501590937562	-4.36759423236816	7.64988586714582e-05	0.136056739490461	0.925186075740578
1389306_at	-0.050515241118652	6.07142967386794	-4.35647848279242	7.92473703389675e-05	0.136056739490461	1.15117609018662
1374818_at	0.0555202207940537	6.2056051145732	4.34810932181643	8.13802285181926e-05	0.136056739490461	1.02512513252587
1373146_at	-0.0338700337532272	6.37372303132844	-4.33664253980465	8.43938378215154e-05	0.136056739490461	0.912488037065891
1368584_a_at	0.0859126646165747	6.33927598899017	4.31200326759572	9.12429034921143e-05	0.136056739490461	0.933553670690433
1368110_a_at	0.0688664362367568	5.7518245350605	4.30262052332982	9.39913417317763e-05	0.136056739490461	1.08009427519172
1373481_at	-0.0331607448532267	6.50807012495743	-4.19866841940926	0.000130398065233627	0.158131843274722	0.374378735961983
1370454_at	-0.0435624803178021	6.35425718766919	-4.15241101677284	0.000150718727617522	0.158131843274722	0.26940204727796
1373566_at	0.0549609998630238	6.41870633536872	4.11466612296826	0.000169555308760581	0.158131843274722	0.257557773304721
1373138_at	-0.0459084537676624	5.79201728623771	-4.11158175071952	0.000171192023931422	0.158131843274722	0.514557545803121
1388772_at	-0.0361612312979238	6.2949989037292	-4.09573986337026	0.000179843632851527	0.158131843274722	0.189849246843815
1376589_at	-0.0284057763386238	6.43384501103222	-4.0948705718613	0.000180330480827895	0.158131843274722	0.125389524050658
1384503_at	-0.0708834669202814	5.86504368693181	-4.08232480824669	0.000187501080313751	0.158131843274722	0.380210968772754
1374280_at	0.0412246340176576	6.07171095380293	4.08029047791952	0.000188689632746324	0.158131843274722	0.303624310469966
1369032_at	0.0443731197943649	6.33211464829156	3.99577907158528	0.000245084602294611	0.172306157875143	-0.0636695809075718
1383322_at	-0.0631022540413548	6.02450120511266	-3.99039709585796	0.000249183370085488	0.172306157875143	-0.00163494855578339
1374168_at	-0.0314915394706858	6.46125487210531	-3.98934090435055	0.000249995505441714	0.172306157875143	-0.19267529322611
1367598_at	0.241099042004892	6.2563617717994	3.98508457962743	0.000253294411030372	0.172306157875143	-0.057285209003239
1369084_a_at	-0.0320467739970711	6.33163424142573	-3.96700670780556	0.000267782425517044	0.172306157875143	-0.153949907515569
1368971_a_at	-0.0491830411380052	6.11754457262794	-3.96368524682863	0.000270530298742609	0.172306157875143	-0.130906905190022
1374586_at	-0.0400790726051552	6.43898209808877	-3.93624759956269	0.000294299379293636	0.18023573140356	-0.374923326007884
