Genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
1371103_at	-0.0750264153747038	6.436793254904	-8.31004398217527	1.58252772601394e-10	2.519858898132e-06	13.8125839492826
1399152_at	-0.108387988018221	6.25138753387705	-7.33506802027715	3.94578808665587e-09	3.14143918519107e-05	10.6750277832436
1387385_at	-0.0834673724673189	6.25465435684008	-6.96035253057979	1.38287023123951e-08	5.9346610142129e-05	9.45939375867703
1390645_at	-0.0729821085257765	6.40837550788539	-6.80365247597272	2.34098841347174e-08	5.9346610142129e-05	8.8596630852088
1369541_at	-0.109929123671104	6.03507162845677	-6.79189975142635	2.43535222025441e-08	5.9346610142129e-05	8.98557098533261
1368411_a_at	-0.142650330412275	6.44978062955111	-6.78092712278167	2.52689340610831e-08	5.9346610142129e-05	8.79908209970977
1387674_at	-0.0869120153115768	6.20385220818362	-6.77142277729397	2.60896986117505e-08	5.9346610142129e-05	8.85797646640555
1394079_at	-0.126535377601693	5.76496223784477	-6.57674031908222	5.02418034092518e-08	9.05166161734035e-05	8.32336911548126
1387786_at	-0.0806897865263485	6.23292347717162	-6.5713531312864	5.11618128217441e-08	9.05166161734035e-05	8.19520535486963
1369344_at	-0.0877966866985105	6.23265196558222	-6.5388522340959	5.70814542255621e-08	9.08907995633626e-05	8.08274690552605
1369905_at	-0.0883480565182104	6.06334823283684	-6.40857380613706	8.85438309061676e-08	0.000128171219956264	7.74765245866092
1398303_s_at	-0.0528122290868414	6.31452526767529	-6.37048243755068	1.00674176069757e-07	0.000133586242129895	7.4712326031129
1367821_a_at	-0.0845524427726687	5.83589983482258	-6.24924653223364	1.51494395559006e-07	0.000167581053718316	7.24178221222224
1371208_at	-0.0763999127345683	5.51785639058699	-6.23976928160665	1.56411888197088e-07	0.000167581053718316	7.18386886579772
1373058_at	-0.0722629991977941	6.50288233077445	-6.23702201319629	1.57866972666881e-07	0.000167581053718316	6.9343541526626
1370680_at	-0.0546366691924609	6.27111522220754	-6.19050748619319	1.84661642122099e-07	0.000183772957969386	6.8825679351194
1387785_at	-0.067324907030744	6.32363621124162	-6.16466960191639	2.01461882152889e-07	0.000188698679383556	6.80463354614997
1387117_at	-0.0696978445009915	6.25047559581652	-6.00617748204082	3.43605149927723e-07	0.000303956933461063	6.32477621382302
1390486_at	-0.0764133624744243	6.20887707671084	-5.95297352439613	4.10997188761933e-07	0.000343475700290542	6.15252522873154
1387512_at	-0.0614795159254724	6.54769877626202	-5.93670619546031	4.34123116342361e-07	0.000343475700290542	5.90996443827127
1375355_at	-0.063119299940098	5.86282714145596	-5.92406127982884	4.52991880054097e-07	0.000343475700290542	6.17489868909299
1369791_at	-0.0712669055274358	6.03167369667668	-5.89671063476928	4.96648126375243e-07	0.0003473497451455	6.03776306145867
1387663_at	-0.061313821272881	6.08877446647331	-5.89368399257259	5.01729833470232e-07	0.0003473497451455	6.00788772641302
1393418_at	-0.078265233900213	6.37704135383757	-5.84161711037412	5.97726419689834e-07	0.000396566574196718	5.68149586850365
1369818_at	-0.0997748715929037	5.94067901397942	-5.79231548277079	7.05427764705601e-07	0.000449301051896291	5.74292833502545
1369248_a_at	-0.148153641915226	5.77812855851075	-5.74668410138684	8.22249220663107e-07	0.000486716508204445	5.5986718200907
1387406_at	-0.0722754525046998	6.23097524030594	-5.74557880100793	8.2530589220122e-07	0.000486716508204445	5.46133727064164
1374501_at	-0.0475643601144453	6.37171594375925	-5.7266398889537	8.79473555372122e-07	0.000500137765078225	5.3060084994041
1375007_at	-0.0683051340327463	6.23154394032939	-5.70730121219418	9.3843672295125e-07	0.000515266480674233	5.33349101383873
1369130_at	-0.0949092989116327	6.25129266188432	-5.67776882210413	1.03615668360771e-06	0.000549957429102851	5.21324302233419
1371060_at	-0.0713646708856563	6.07103769064357	-5.66633001875298	1.07667054405138e-06	0.000553026615255813	5.26242469568136
1385684_x_at	-0.111183470958923	5.4115455642002	-5.63829735910938	1.18274303828266e-06	0.000577259648663431	5.19935188813274
1386932_at	-0.0685149498115933	5.86786252558034	-5.63488237184755	1.1963554861454e-06	0.000577259648663431	5.23163520344203
1373508_at	-0.0477229487353323	6.35713058233595	-5.61284826318952	1.2880093679562e-06	0.000603205093116663	4.94347572245891
1369903_at	-0.110867716200142	6.16652216331862	-5.5901986686993	1.38950242711851e-06	0.000632144204200231	5.00430435332679
1388000_at	-0.0900037067822028	6.45954270479379	-5.55874336423889	1.54376649134855e-06	0.000682816495603973	4.67989248555859
1371003_at	-0.145008948998742	6.07734366581636	-5.52343514652987	1.73727594142205e-06	0.000747639049061171	4.80297480922351
1387720_at	-0.061626525796596	6.18712434137923	-5.48164573039894	1.99764819618212e-06	0.000837067163889679	4.54413359969994
1370543_at	-0.0488156802519777	6.28887290258545	-5.45970788865011	2.14948637139478e-06	0.000857069560444118	4.49754430629022
1369220_at	-0.0540722994068581	6.25803240156288	-5.44951777388121	2.22385981537946e-06	0.000857069560444118	4.4666355945778
1367806_at	-0.0742840741429962	6.33821895266286	-5.44580601629623	2.25158047063344e-06	0.000857069560444118	4.39884938675883
1369129_at	-0.117947900866313	6.22092541364365	-5.44459653728142	2.26068715309005e-06	0.000857069560444118	4.46638582633974
1372977_at	-0.049468832233126	6.05046020975929	-5.40937150162364	2.54256330796333e-06	0.000941517105876746	4.44680777174106
1371687_at	-0.0488774789952933	6.42471634574	-5.34406344841984	3.16054081458376e-06	0.00114375662251403	4.02972049868242
1370146_at	-0.0545588532621215	6.22815707953794	-5.23502641295077	4.54076071502838e-06	0.00160672295256437	3.78743822653639
1368933_at	-0.0834971551071364	6.32341496489536	-5.22744142716062	4.65646213911586e-06	0.00161184449219874	3.67872354648246
1369627_at	-0.0599998727515301	6.48007939086298	-5.19892072428114	5.11824378325202e-06	0.00173399565448344	3.43293528239658
1387850_at	-0.0845824684634247	6.05576406213724	-5.18593290643385	5.34328548161438e-06	0.0017497963022265	3.73780682495583
1372176_at	-0.0701862823263095	6.19650925548329	-5.18214758110142	5.41069842052576e-06	0.0017497963022265	3.59096003019674
1370410_at	0.0729277682629217	6.13782091286893	5.1772862213602	5.4985105388083e-06	0.0017497963022265	3.64747520709436
1382632_at	-0.0537982431353861	5.74825001615271	-5.16880060522122	5.65518115654119e-06	0.0017497963022265	3.73714505903874
1375754_at	-0.0652005472789972	6.15202537882936	-5.16565690619477	5.71433823499203e-06	0.0017497963022265	3.61695380638171
1368450_at	-0.107360164213827	6.24119017023456	-5.14649513192393	6.08839059767609e-06	0.00182915931107163	3.48915096991385
1375130_at	-0.0460148297206153	6.34739386787889	-5.11882339105781	6.67168491825459e-06	0.00191702650088473	3.35222020376524
1367970_at	-0.0477418689214781	6.46804229304682	-5.11522753316891	6.75143066033057e-06	0.00191702650088473	3.22196442715776
1387737_at	-0.0538160485007104	6.24295531346132	-5.11436749198729	6.77064315878619e-06	0.00191702650088473	3.3829990383349
1387440_at	-0.0634825254158882	5.94038649178868	-5.11029160783875	6.86243236515916e-06	0.00191702650088473	3.52750269988784
1390706_at	-0.0628260585175173	6.37574447030672	-5.08499901275759	7.46016981555577e-06	0.00204807386160508	3.21338402169497
1373303_at	-0.0692935194499649	6.05373842724472	-5.07973678034795	7.59085462154398e-06	0.00204863013794652	3.37633840979726
1370746_at	-0.11526946067143	6.08560802982623	-5.07420421927155	7.73069357839968e-06	0.0020515972308143	3.37717184468801
1369462_at	-0.0891695575860174	6.13598225975456	-5.06706086019739	7.91501866694262e-06	0.00206607938088078	3.30572980655498
1376967_at	-0.0835629337805912	6.0320497161694	-5.04557973203708	8.4958843739517e-06	0.00215389767374439	3.28607422812267
1388002_at	-0.0744084133172862	6.22822851376083	-5.04464893869158	8.52198413903767e-06	0.00215389767374439	3.17734915709719
1370129_at	-0.0446746129586453	6.23402080599351	-5.02620796268288	9.05571861512189e-06	0.00225303449232165	3.12111381181625
1388196_at	-0.0314566708093746	6.6869441288313	-5.02023382759981	9.23560915174133e-06	0.00226244006958734	2.76368187195057
1390152_at	-0.0432442268808799	6.31720199037567	-5.00863557680298	9.59498790958623e-06	0.00231486352249002	3.02305448807188
