Genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
1377576_at	0.0445556162615093	6.29077649242582	4.80708493020281	1.85704752524218e-05	0.00400492144426298	2.39040031734204
1398394_at	-0.0514608311667004	5.83710089295865	-4.80495045017974	1.87001802395156e-05	0.00400492144426298	2.56736406731456
1388313_at	0.0502004999678043	6.32948103304295	4.80227771914077	1.8863851555594e-05	0.00400492144426298	2.32950001577019
1388673_at	-0.0618209100854994	5.78704373444948	-4.79466281943647	1.93379440155332e-05	0.00402481371856478	2.54171787296691
1371321_at	0.0315250505884297	6.61991099384012	4.78903312343649	1.96959656539044e-05	0.00402481371856478	2.09256155806041
1368632_at	0.0400722198785566	6.55494354231637	4.7887234230299	1.97158494032565e-05	0.00402481371856478	2.14404392860434
1375107_at	0.0203894470289239	6.94557982384979	4.77455951650767	2.06466495647244e-05	0.00404563657853022	1.72885064556879
1392047_at	-0.0517340970615381	5.93299885212069	-4.77245952039323	2.07882868775794e-05	0.00404563657853022	2.42724133644214
1390280_at	-0.0393947783006539	6.08317950209957	-4.77180143198184	2.08328691350222e-05	0.00404563657853022	2.38203686918744
1371702_at	0.0273409697852145	6.68482121220119	4.77178251850461	2.0834151820604e-05	0.00404563657853022	1.96231842344814
1389532_at	-0.0322668724352324	6.43494142251971	-4.75822254571589	2.17740652954763e-05	0.00409857508043116	2.12247194295981
1369178_a_at	-0.0673467301261859	5.64900011780392	-4.7574407858371	2.1829507695623e-05	0.00409857508043116	2.43122457630927
1369158_at	-0.0658247661954121	5.80140687773347	-4.75113028513697	2.22821650972919e-05	0.00409857508043116	2.40358671570767
1369540_at	-0.072432542123039	5.93369305668105	-4.75092689962443	2.22969067295473e-05	0.00409857508043116	2.3578099316571
1387121_a_at	0.0268974647951135	6.74193660027588	4.74959376303579	2.23937720277279e-05	0.00409857508043116	1.85453656700995
1388405_at	0.0544195545947783	6.20475125358497	4.7282670292358	2.40008593653593e-05	0.00434279185993882	2.18965751054182
